Timestamp,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DayOfWeek,Holiday,EnergyConsumption
2022-01-01 00:00:00,25.1394334377269,43.43158120480281,1565.6939992511177,5,On,Off,2.774698791658742,Monday,No,75.36437339539214
2022-01-01 01:00:00,27.731650520792968,54.225918580233085,1411.064918331917,1,On,On,21.831384152500608,Saturday,No,83.40185495035139
2022-01-01 02:00:00,28.704276857248125,58.907657743033184,1755.71500922237,2,Off,Off,6.76467168191291,Sunday,No,78.27088774061066
2022-01-01 03:00:00,20.080469485298178,50.3716371457499,1452.316318334375,1,Off,On,8.623446893471096,Wednesday,No,56.51985048548002
2022-01-01 04:00:00,23.09735925505204,51.40142134361278,1094.1303586981196,9,On,Off,3.0719692157166323,Friday,No,70.81173246793318
2022-01-01 05:00:00,29.576037393658908,36.82426323380886,1871.7091797360983,6,Off,Off,17.62668982389795,Sunday,Yes,84.32188519433718
2022-01-01 06:00:00,25.13116712267887,35.70962155267958,1607.0012284749637,6,On,Off,24.26470232698351,Friday,Yes,76.16579090213895
2022-01-01 07:00:00,23.182844248720983,31.67991978011051,1633.9553295431135,8,Off,Off,27.51709925003732,Thursday,Yes,74.1319061773031
2022-01-01 08:00:00,25.39199937425648,46.399364049557406,1240.309223721734,6,On,Off,2.3075954692088576,Sunday,No,78.20623587095885
2022-01-01 09:00:00,22.2125494242776,32.41846388370173,1705.4203356236917,1,On,Off,29.140070981014404,Tuesday,No,77.99221370196022
2022-01-01 10:00:00,28.0648135792427,36.45147178564109,1341.467128540315,2,Off,Off,0.3522383966403897,Monday,Yes,82.27443448386548
2022-01-01 11:00:00,23.422546256146845,30.527342157466457,1604.4183548074382,6,On,On,19.529548154656723,Thursday,Yes,73.27866950427382
2022-01-01 12:00:00,25.388888490671448,47.60101803425757,1244.6189139899486,1,On,Off,21.79744359722318,Tuesday,Yes,84.14477565753458
2022-01-01 13:00:00,20.058737855510586,41.861641594454376,1806.052631578324,2,Off,Off,6.384949152471242,Friday,Yes,60.0225185622203
